candidate_id,name.x,party,state,district,cycles,name.y,committee_id
H8CA10191,"SHOBLOM, SCOTT",IND,CA,10,{2018},FRIENDS & SUPPORTERS SCOTT SHOBLOM FOR CONGRESS,C00660266
H8CA10209,"HOWZE, TED D II",REP,CA,10,"{2018,2020}",TED HOWZE FOR CONGRESS 2020,C00681544
H8CA11090,"LYTTON, ALVA",DEM,CA,11,"{2018,2020}",COMMITTEE TO ELECT DENNIS LYTTON,C00662437
H8CA12239,"JAFFE, STEPHEN R",DEM,CA,12,"{2018,2020}",COMMITTEE TO ELECT STEPHEN R JAFFE; THE,C00638775
H8CA12254,"KHOJASTEH, RYAN",DEM,CA,12,{2018},KHOJASTEH FOR A CHANGED CONGRESS,C00658534
H8CA12262,"BUTTAR, SHAHID",DEM,CA,12,"{2018,2020}",SHAHID BUTTAR FOR CONGRESS COMMITTEE,C00670463
H8CA12270,"REMMER, LISA",REP,CA,12,{2018},REMMER FOR CONGRESS,C00672980
H8CA12296,"GOLDSTEIN, MICHAEL",NOP,CA,12,{2018},COMMITTEE TO ELECT MICHAEL GOLDSTEIN,C00675611
H8CA13096,"WELLS, LAURA",GRE,CA,13,"{2018,2020}",LAURA WELLS FOR CONGRESS,C00683144
H8CA15109,"ST JOHN, ERICK BRENDAN",NPA,CA,15,{2018},BRENDAN FOR CONGRESS,C00646695
H8CA15117,"PETERS, RUDY PETERS",REP,CA,15,"{2018,2020}",RUDY PETERS FOR CONGRESS,C00671370
H8CA16065,"HENG, ELIZABETH",UNK,CA,16,"{2018,2020}",HELPING ELECT THE NEXT GENERATION PAC (HENG PAC),C00685735
H8CA16065,"HENG, ELIZABETH",UNK,CA,16,"{2018,2020}",ELIZABETH HENG FOR CONGRESS,C00670257
H8CA17097,"TRAN, KHANH",DEM,CA,17,{2018},KHANH TRAN FOR CONGRESS DISTRICT 17,C00640607
H8CA18079,"MELILLO, MICHAEL",IND,CA,18,{2018},MICHAEL MELILLO FOR CONGRESS,C00663047
H8CA19051,"AGUILERA, JUSTIN",REP,CA,19,"{2018,2020}",JUSTIN AGUILERA FOR CONGRESS,C00683532
H8CA20083,"CHEADER, ROBERT NEIL",IND,CA,20,{2018},ROBERT CHEADER FOR CONGRESS,C00640821
H8CA22139,"JANZ, ANDREW",DEM,CA,22,"{2018,2020}",ANDREW JANZ FOR CONGRESS,C00638510
H8CA22147,"FRANCO, RICARDO JOSE",DEM,CA,22,"{2018,2020}",FRANCO FOR CONGRESS,C00649095
H8CA22154,"BLIATOUT, BOBBY",DEM,CA,22,{2018},BOBBY FOR CONGRESS,C00649533
H8CA22162,"CARROLL, BRIAN",NOP,CA,22,{2018},BRIAN T CARROLL CITIZENS FOR,C00664987
H8CA22170,"WILLIAMS, BRANT JOHN-MICHAEL",DEM,CA,22,"{2018,2020}",B. JOHN-MICHAEL WILLIAMS FOR CA-22,C00666495
H8CA23095,"OWEN, ROBERT THURMAN III",DEM,CA,23,{2018},ROBERT OWEN FOR CONGRESS,C00636357
H8CA23103,"MATTA, TATIANA",DEM,CA,23,"{2018,2020}",TATIANA MATTA FOR CONGRESS,C00653592
H8CA23111,"WILSON, KURTIS",DEM,CA,23,"{2018,2020}",KURTIS WILSON FOR CONGRESS 2018,C00657114
H8CA23129,"BARRO, MARY",DEM,CA,23,"{2018,2020}",MARY HELEN BARRO FOR REPRESENTATIVE,C00670760
